"Player","Team","FG","FGA","XPT","FPTS"
"Justin Tucker","BAL","29.9","34.2","39.9","129.7"
"Harrison Butker","KC","27.7","31.6","46.2","129.4"
"Daniel Carlson","LV","30.6","35.8","37.3","129.2"
"Matt Gay","LAR","29.0","34.4","41.1","128.1"
"Ryan Succop","TB","26.6","32.6","47.6","127.3"
"Tyler Bass","BUF","27.0","33.3","45.6","126.7"
"Greg Joseph","MIN","29.8","34.9","36.9","126.4"
"Mason Crosby","GB","26.5","32.7","45.3","124.8"
"Matt Prater","ARI","27.0","33.8","43.5","124.6"
"Evan McPherson","CIN","28.7","34.5","38.2","124.5"
"Nick Folk","NE","28.4","33.3","38.7","123.9"
"Brett Maher","DAL","26.7","31.9","43.8","123.9"
"Rodrigo Blankenship","IND","28.1","33.9","38.7","123.0"
"Robbie Gould","SF","27.2","31.9","40.8","122.3"
"Brandon McManus","DEN","27.1","32.7","40.2","121.5"
"Dustin Hopkins","LAC","26.2","30.9","42.0","120.5"
"Chris Boswell","PIT","29.1","34.4","32.4","119.8"
"Randy Bullock","TEN","25.6","30.7","40.7","117.3"
"Wil Lutz","NO","26.5","31.2","36.7","116.0"
"Jake Elliott","PHI","27.8","32.5","32.5","115.9"
"Younghoe Koo","ATL","27.4","31.4","33.4","115.7"
"Jason Sanders","MIA","25.6","31.6","37.6","114.4"
"Graham Gano","NYG","27.4","32.5","30.5","112.7"
"Cairo Santos","CHI","26.3","31.9","33.6","112.5"
"Austin Seibert","DET","26.1","30.1","34.3","112.4"
"Joey Slye","WAS","25.9","31.4","32.1","109.7"
"Cade York","CLE","24.3","29.2","33.9","106.6"
"Jason Myers","SEA","23.6","28.6","33.4","104.2"
"Ka'imi Fairbairn","HOU","24.4","29.0","30.0","103.1"
"Zane Gonzalez","CAR","24.5","28.3","29.5","103.0"
"Greg Zuerlein","NYJ","23.9","29.7","30.3","101.9"
"Riley Patterson","DET","21.9","0.0","30.2","95.8"
"James McCourt","JAC","15.8","14.5","16.9","64.4"
""
""