"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Â ","","",""
"Cooper Kupp","LAR","123.0","1,599.7","12.4","4.1","23.9","0.1","0.6","236.2"
"Ja'Marr Chase","CIN","91.6","1,415.9","10.5","8.5","50.0","0.2","0.6","209.4"
"Justin Jefferson","MIN","103.0","1,500.8","9.5","3.1","16.0","0.0","0.6","207.9"
"Deebo Samuel","SF","70.5","1,050.9","6.1","66.3","377.0","4.7","0.7","206.3"
"Davante Adams","LV","106.4","1,322.1","9.2","0.0","0.0","0.0","0.5","186.6"
"Stefon Diggs","BUF","102.0","1,256.3","8.9","0.2","2.0","0.0","0.5","178.2"
"Mike Evans","TB","82.2","1,132.3","10.1","0.2","1.4","0.0","0.5","173.2"
"CeeDee Lamb","DAL","91.2","1,236.5","7.6","6.0","44.9","0.1","0.5","173.2"
"Tyreek Hill","MIA","92.3","1,153.1","8.1","8.8","62.2","0.3","0.5","170.9"
"Tee Higgins","CIN","85.3","1,193.9","7.8","0.2","0.8","0.0","0.5","165.5"
"A.J. Brown","PHI","77.6","1,134.3","8.1","0.8","7.6","0.0","0.5","161.8"
"Mike Williams","LAC","74.6","1,098.0","7.9","0.0","0.2","0.0","0.4","156.7"
"Michael Pittman Jr.","IND","91.5","1,132.4","6.7","3.7","28.9","0.0","0.6","155.7"
"DJ Moore","CAR","86.9","1,146.4","5.7","5.6","37.8","0.1","0.6","151.8"
"Keenan Allen","LAC","99.8","1,089.5","6.9","0.4","1.8","0.0","0.5","149.6"
"Gabriel Davis","BUF","61.5","960.4","8.8","0.0","0.0","0.0","0.1","148.5"
"Brandin Cooks","HOU","92.3","1,105.2","6.1","2.6","18.6","0.1","0.5","148.4"
"DK Metcalf","SEA","78.4","1,056.3","6.9","0.4","2.2","0.0","0.6","146.0"
"Diontae Johnson","PIT","94.9","1,046.9","6.1","4.2","31.6","0.1","1.0","142.7"
"Terry McLaurin","WAS","78.5","1,071.2","5.9","0.4","4.6","0.0","0.4","141.9"
"Courtland Sutton","DEN","70.8","1,004.7","6.8","0.2","0.6","0.0","0.5","140.5"
"Jaylen Waddle","MIA","89.0","994.4","6.1","3.3","19.2","0.3","0.6","139.0"
"Amon-Ra St. Brown","DET","87.6","956.6","6.0","6.6","46.7","0.4","0.5","137.6"
"Michael Thomas","NO","85.4","994.2","6.5","0.2","-0.8","0.0","0.5","137.5"
"Jerry Jeudy","DEN","75.4","1,025.1","5.8","1.2","5.4","0.0","0.6","137.1"
"Darnell Mooney","CHI","78.3","1,035.6","4.9","5.0","26.2","0.2","0.5","135.9"
"Elijah Moore","NYJ","70.5","912.6","6.0","6.2","50.8","0.5","0.5","134.4"
"Tyler Lockett","SEA","73.4","986.1","5.6","2.1","11.9","0.1","0.5","132.7"
"Chris Godwin","TB","80.3","931.6","6.3","2.2","12.0","0.3","0.9","132.0"
"Marquise Brown","ARI","75.8","969.8","5.7","2.0","12.9","0.1","0.6","131.9"
"Adam Thielen","MIN","73.9","838.2","7.8","0.4","1.2","0.0","0.5","129.8"
"Robert Woods","TEN","74.0","883.3","5.1","8.9","61.2","0.7","0.5","128.0"
"Amari Cooper","CLE","75.3","944.6","5.7","0.2","0.6","0.0","0.5","127.7"
"JuJu Smith-Schuster","KC","78.6","854.1","6.5","2.3","11.5","0.5","0.5","127.4"
"Allen Robinson II","LAR","75.6","917.1","6.0","0.0","0.0","0.0","0.5","126.9"
"Hunter Renfrow","LV","82.9","884.7","6.3","1.2","5.0","0.0","0.7","125.8"
"Rashod Bateman","BAL","74.0","937.6","5.2","0.2","2.2","0.0","0.5","124.4"
"DeVonta Smith","PHI","62.8","863.0","5.6","0.0","0.0","0.0","0.5","118.9"
"Allen Lazard","GB","57.7","779.0","6.7","1.4","12.2","0.0","0.4","118.6"
"Brandon Aiyuk","SF","62.1","843.4","5.5","2.9","17.5","0.0","0.5","118.3"
"Chase Claypool","PIT","63.8","853.3","4.6","8.6","52.3","0.2","0.5","118.2"
"Christian Kirk","JAC","72.5","887.3","4.6","0.8","5.8","0.0","0.5","116.2"
"Drake London","ATL","65.5","863.8","4.7","0.8","4.2","0.0","0.8","113.5"
"Marquez Valdes-Scantling","KC","47.2","771.9","5.1","0.6","3.2","0.0","0.1","107.8"
"Kadarius Toney","NYG","66.3","769.2","4.2","8.8","59.6","0.1","0.5","107.5"
"Mecole Hardman","KC","57.7","725.8","4.6","8.4","58.9","0.4","1.0","106.5"
"Treylon Burks","TEN","53.8","755.8","4.6","4.0","25.8","0.3","0.8","105.7"
"DeAndre Hopkins","ARI","58.0","736.6","5.4","0.0","0.4","0.0","0.5","105.0"
"Jakobi Meyers","NE","72.9","822.6","3.8","0.4","2.8","0.0","0.5","104.2"
"DeVante Parker","NE","56.8","759.2","4.8","0.0","0.0","0.0","0.4","103.6"
"Kenny Golladay","NYG","55.2","780.8","4.3","0.0","0.0","0.0","0.4","102.9"
"Russell Gage","TB","64.1","727.9","5.2","0.2","0.8","0.0","0.9","102.1"
"Michael Gallup","DAL","50.3","709.7","4.9","2.0","14.2","0.0","0.4","100.7"
"Tyler Boyd","CIN","64.0","739.2","4.2","2.7","19.0","0.0","0.5","100.3"
"Chris Olave","NO","50.3","717.3","4.6","0.4","2.2","0.0","0.5","98.7"
"Jarvis Landry","NO","58.7","704.9","4.3","3.0","16.5","0.3","0.6","98.1"
"Robbie Anderson","CAR","57.2","672.6","4.7","3.7","24.6","0.1","0.4","97.6"
"Marvin Jones Jr.","JAC","56.4","683.2","4.8","0.0","0.0","0.0","0.4","96.2"
"DJ Chark Jr.","DET","47.4","674.3","4.7","0.2","1.6","0.0","0.1","95.4"
"Garrett Wilson","NYJ","52.4","715.2","3.9","1.8","13.2","0.0","0.8","94.6"
"Corey Davis","NYJ","48.6","685.5","4.2","0.0","0.0","0.0","0.5","92.8"
"Jahan Dotson","WAS","51.4","679.7","3.7","0.4","2.2","0.0","0.8","88.7"
"George Pickens","PIT","54.4","679.8","3.7","0.4","1.8","0.0","0.8","88.5"
"Van Jefferson","LAR","45.4","623.2","4.0","1.9","15.0","0.0","0.1","88.1"
"Jalen Tolbert","DAL","48.2","634.4","4.3","0.4","2.4","0.0","0.8","87.8"
"Nico Collins","HOU","51.8","679.4","3.4","0.0","0.0","0.0","0.5","87.7"
"Donovan Peoples-Jones","CLE","44.0","657.8","3.5","0.0","0.0","0.0","0.5","85.8"
"K.J. Osborn","MIN","45.5","578.4","4.6","0.2","2.0","0.0","0.4","84.5"
"Julio Jones","TB","46.8","628.2","3.7","0.0","0.0","0.0","0.4","84.2"
"Skyy Moore","KC","44.4","596.9","4.2","1.2","7.8","0.0","0.8","84.0"
"Curtis Samuel","WAS","44.1","499.8","3.4","16.6","91.8","0.8","0.5","83.7"
"Rondale Moore","ARI","53.9","528.9","2.8","17.2","99.6","0.6","0.6","82.3"
"Parris Campbell","IND","48.5","591.1","3.7","0.5","3.3","0.0","0.1","81.2"
"Joshua Palmer","LAC","46.8","550.7","4.3","0.0","0.0","0.0","0.2","80.2"
"Sterling Shepard","NYG","58.9","607.8","3.1","1.0","4.2","0.0","0.5","78.7"
"Kendrick Bourne","NE","40.9","516.4","3.6","6.3","48.1","0.1","0.5","77.8"
"Randall Cobb","GB","41.7","533.3","4.1","0.8","3.1","0.0","0.5","77.6"
"Alec Pierce","IND","40.9","556.6","3.7","0.0","0.0","0.0","0.2","77.5"
"KJ Hamler","DEN","42.7","557.2","3.3","3.1","20.6","0.0","0.1","77.2"
"Nick Westbrook-Ikhine","TEN","41.2","527.1","3.8","0.0","0.0","0.0","0.4","74.3"
"A.J. Green","ARI","36.5","524.4","2.6","0.0","0.0","0.0","0.1","68.1"
"Bryan Edwards","ATL","35.8","522.8","2.6","0.2","1.4","0.0","0.1","67.8"
"Zay Jones","JAC","42.7","503.6","2.8","0.4","0.6","0.0","0.4","66.2"
"Romeo Doubs","GB","35.0","464.1","3.2","0.4","2.4","0.0","0.7","64.5"
"Byron Pringle","CHI","37.7","474.8","2.9","0.0","0.0","0.0","0.2","64.4"
"Cedrick Wilson Jr.","MIA","38.6","464.5","3.1","0.6","1.6","0.0","0.5","64.3"
"Christian Watson","GB","32.4","435.1","3.3","1.5","9.0","0.0","0.4","63.3"
"Devin Duvernay","BAL","39.9","451.9","2.4","4.9","33.9","0.1","0.2","63.2"
"Wan'Dale Robinson","NYG","39.1","442.5","2.4","6.7","39.3","0.1","0.2","63.1"
"Jameson Williams","DET","34.0","471.1","2.7","0.4","2.2","0.0","0.6","62.5"
"Laviska Shenault Jr.","CAR","38.9","407.0","2.5","10.5","52.0","0.3","0.4","61.8"
"Jamison Crowder","BUF","39.2","407.4","2.8","2.2","14.0","0.2","0.4","59.1"
"Sammy Watkins","GB","33.2","441.2","2.5","0.6","3.5","0.0","0.4","58.9"
"Isaiah McKenzie","BUF","37.6","376.7","2.6","6.8","40.3","0.3","0.2","58.6"
"Nelson Agholor","NE","29.8","409.7","2.4","1.5","7.5","0.0","0.1","56.2"
"David Bell","CLE","33.3","413.0","2.3","1.2","8.8","0.0","0.4","55.0"
"James Washington","DAL","24.8","364.5","3.0","0.4","2.4","0.0","0.0","54.5"
"Braxton Berrios","NYJ","35.0","353.0","1.9","5.2","31.5","0.9","0.5","54.1"
"Chris Conley","HOU","33.5","410.2","2.1","0.0","0.0","0.0","0.2","53.4"
"Velus Jones Jr.","CHI","29.1","372.1","2.2","1.0","6.3","0.0","0.2","51.3"
"Olamide Zaccheaus","ATL","29.6","380.5","2.2","0.4","1.8","0.0","0.1","51.1"
"Terrace Marshall Jr.","CAR","29.1","360.4","2.3","0.0","0.0","0.0","0.1","49.6"
"Jauan Jennings","SF","28.4","322.9","2.6","0.0","0.0","0.0","0.1","47.8"
"Keelan Cole Sr.","LV","24.9","343.1","2.1","0.0","0.2","0.0","0.1","47.0"
"Quez Watkins","PHI","25.6","355.1","1.8","0.0","0.0","0.0","0.0","46.5"
"Jalen Guyton","LAC","21.5","312.3","2.0","4.4","25.9","0.1","0.1","46.2"
"Dee Eskridge","SEA","24.2","311.0","1.6","4.3","29.3","0.1","0.3","43.3"
"Freddie Swain","SEA","26.0","311.9","1.9","0.5","3.0","0.0","0.1","42.6"
"Josh Reynolds","DET","22.2","300.9","1.9","0.0","0.0","0.0","0.1","41.3"
"James Proche II","BAL","24.2","294.4","1.7","0.0","0.0","0.0","0.1","39.5"
"Amari Rodgers","GB","21.7","283.6","1.6","1.5","9.4","0.0","0.4","38.1"
"Marquez Callaway","NO","17.7","260.9","1.7","1.8","10.7","0.1","0.0","38.0"
"Demarcus Robinson","BAL","22.4","263.4","1.8","0.0","0.0","0.0","0.0","36.9"
"Rashard Higgins","CAR","19.5","260.8","1.4","0.3","2.7","0.0","0.1","34.3"
"Darius Slayton","NYG","19.7","265.1","1.6","0.3","-3.3","0.0","1.0","34.0"
"Phillip Dorsett II","HOU","20.5","249.4","1.2","0.5","3.3","0.0","0.1","32.5"
"Jamal Agnew","JAC","14.0","159.8","0.8","8.6","56.3","0.4","0.1","28.6"
"Ben Skowronek","LAR","15.9","195.4","1.4","0.0","0.0","0.0","0.0","28.0"
"Quintez Cephus","DET","13.4","181.3","1.6","0.0","0.0","0.0","0.0","27.8"
"Keke Coutee","IND","15.1","194.3","1.2","0.0","0.0","0.0","0.0","26.5"
"Noah Brown","DAL","15.1","185.9","1.3","0.0","0.0","0.0","0.1","26.0"
"Equanimeous St. Brown","CHI","13.9","188.0","1.0","0.0","0.0","0.0","0.1","24.6"
"Montrell Washington","DEN","13.3","174.1","1.1","0.0","0.0","0.0","0.0","24.2"
"Kyle Philips","TEN","14.8","183.0","1.0","0.0","0.0","0.0","0.1","23.9"
"Anthony Schwartz","CLE","12.4","165.1","1.0","1.1","6.7","0.0","0.1","23.4"
"Tutu Atwell","LAR","13.3","167.0","1.2","0.0","0.0","0.0","0.2","23.3"
"Dyami Brown","WAS","11.7","181.0","0.9","0.0","0.0","0.0","0.0","23.2"
"Kalif Raymond","DET","13.2","161.1","1.1","0.9","5.2","0.0","0.1","23.1"
"Chris Moore","HOU","16.1","173.0","0.9","0.0","0.0","0.0","0.0","22.6"
"Dez Fitzpatrick","TEN","12.8","170.4","0.9","0.0","0.0","0.0","0.0","22.6"
"Ty Montgomery","NE","11.0","103.9","0.6","9.7","56.9","0.5","0.0","22.1"
"Mack Hollins","LV","11.2","147.7","1.2","0.3","0.0","0.0","0.1","21.9"
"Zach Pascal","PHI","11.7","148.0","1.1","0.3","1.8","0.0","0.0","21.7"
"Damiere Byrd","ATL","13.0","154.9","0.8","0.0","0.0","0.0","0.0","20.2"
"Calvin Austin III","PIT","13.9","162.5","0.7","0.0","0.0","0.0","0.1","20.1"
"Trent Sherfield","MIA","12.0","144.0","0.9","0.0","0.0","0.0","0.1","19.5"
"Ihmir Smith-Marsette","MIN","11.4","141.5","0.8","0.0","0.0","0.0","0.1","19.0"
"Breshad Perriman","TB","9.3","133.0","0.9","0.0","0.0","0.0","0.0","18.9"
"Cody Hollister","TEN","11.3","133.2","0.9","0.0","0.0","0.0","0.0","18.8"
"Cam Sims","WAS","10.0","139.3","0.8","0.0","0.0","0.0","0.0","18.7"
"Ray-Ray McCloud","SF","12.1","139.6","0.8","0.0","0.0","0.0","0.0","18.6"
"Simi Fehoko","DAL","9.4","117.5","0.8","2.2","13.3","0.1","0.1","18.4"
"Tylan Wallace","BAL","10.4","134.6","0.8","0.0","0.0","0.0","0.0","18.4"
"Deonte Harty","NO","8.6","118.4","0.8","1.3","11.0","0.0","0.0","17.8"
"Erik Ezukanma","MIA","8.7","122.1","0.7","0.0","0.0","0.0","0.0","16.6"
"Kristian Wilkerson","NE","10.1","117.7","0.8","0.0","0.0","0.0","0.0","16.3"
"Demetric Felton Jr.","CLE","10.3","109.9","0.6","2.2","12.2","0.1","0.1","16.2"
"Khalil Shakir","BUF","9.0","109.0","0.7","0.7","4.0","0.0","0.0","15.8"
"Ashton Dulin","IND","8.2","109.0","0.7","1.1","7.2","0.1","0.1","15.7"
"Antoine Wesley","ARI","8.9","110.9","0.8","0.0","0.0","0.0","0.0","15.7"
"Anthony Miller","PIT","9.7","115.0","0.6","0.0","0.0","0.0","0.0","14.9"
"Jalen Nailor","MIN","8.7","102.9","0.7","0.0","0.0","0.0","0.0","14.6"
"Tyrie Cleveland","DEN","7.6","103.9","0.7","0.0","0.0","0.0","0.1","14.4"
"Danny Gray","SF","9.1","109.3","0.6","0.0","0.0","0.0","0.0","14.3"
"Juwan Johnson","NO","10.3","97.4","0.7","0.0","0.0","0.0","0.0","13.9"
"KhaDarel Hodge","ATL","7.2","103.9","0.5","0.0","0.0","0.0","0.0","13.5"
"Trinity Benson","DET","8.6","100.1","0.5","0.0","0.0","0.0","0.0","13.1"
"Tim Jones","JAC","7.6","98.3","0.5","0.0","0.0","0.0","0.0","12.9"
"Bo Melton","SEA","8.1","100.8","0.5","0.0","0.0","0.0","0.0","12.8"
"Tajae Sharpe","CHI","7.7","91.8","0.6","0.0","0.0","0.0","0.1","12.4"
"Samori Toure","GB","6.8","81.6","0.7","0.0","0.0","0.0","0.0","12.3"
"Jeff Smith","NYJ","6.7","90.1","0.5","0.0","0.0","0.0","0.0","11.7"
"Penny Hart","SEA","8.0","85.2","0.5","0.0","0.0","0.0","0.0","11.5"
"Shi Smith","CAR","7.0","85.7","0.4","0.0","0.0","0.0","0.1","11.0"
"Jalen Reagor","PHI","5.9","62.1","0.4","3.1","17.2","0.1","0.1","10.8"
"Seth Williams","DEN","6.4","74.7","0.6","0.0","0.0","0.0","0.0","10.7"
"Tre'Quan Smith","NO","6.9","74.5","0.6","0.0","0.0","0.0","0.0","10.7"
"David Moore","CHI","6.3","80.7","0.4","0.0","0.0","0.0","0.0","10.6"
"Marcus Johnson","SF","6.0","73.9","0.5","0.0","0.0","0.0","0.0","10.6"
"Jalen Camp","HOU","7.2","81.2","0.4","0.0","0.0","0.0","0.1","10.5"
"Tyquan Thornton","NE","6.3","74.4","0.5","0.0","0.0","0.0","0.1","10.2"
"Nsimba Webster","CHI","6.0","77.1","0.4","0.0","0.0","0.0","0.0","10.2"
"Kendall Hinton","DEN","5.1","74.3","0.5","0.0","0.0","0.0","0.0","10.2"
"Miles Boykin","PIT","6.1","76.0","0.4","0.0","0.0","0.0","0.0","10.1"
"David Sills V","NYG","6.6","77.4","0.4","0.0","0.0","0.0","0.1","9.8"
"Mike Strachan","IND","5.9","68.9","0.5","0.0","0.0","0.0","0.0","9.6"
"Trent Taylor","CIN","6.2","63.9","0.5","0.0","0.0","0.0","0.0","9.4"
"Dezmon Patmon","IND","5.4","63.6","0.5","0.0","0.0","0.0","0.0","9.3"
"Dillon Stoner","LV","5.4","64.5","0.5","0.0","0.0","0.0","0.0","9.2"
"Andre Roberts","CAR","4.2","71.2","0.3","0.0","0.0","0.0","0.0","9.0"
"DeAndre Carter","LAC","5.4","64.8","0.4","0.0","0.0","0.0","0.0","8.8"
"Greg Ward","PHI","5.6","62.9","0.4","0.0","0.0","0.0","0.0","8.8"
"Justin Watson","KC","5.1","56.2","0.5","0.0","0.0","0.0","0.1","8.7"
"Richie James Jr.","NYG","5.3","66.9","0.3","0.0","0.0","0.0","0.0","8.6"
"Marquise Goodwin","SEA","4.8","67.0","0.3","0.0","0.0","0.0","0.0","8.5"
"Brandon Zylstra","CAR","5.0","62.7","0.3","0.0","0.0","0.0","0.0","8.2"
"N'Keal Harry","CHI","5.4","68.5","0.2","0.0","0.0","0.0","0.0","8.1"
"Racey McMath","TEN","4.3","57.0","0.3","0.0","0.0","0.0","0.0","7.6"
"Dante Pettis","CHI","4.4","57.5","0.3","0.0","0.0","0.0","0.1","7.4"
"Matthew Slater","NE","1.9","62.5","0.2","0.0","0.0","0.0","0.0","7.4"
"Mike Thomas","CIN","4.6","55.2","0.3","0.0","0.0","0.0","0.0","7.3"
"Jaelon Darden","TB","4.0","52.6","0.3","0.0","0.0","0.0","0.0","7.2"
"Travis Fulgham","GB","3.6","44.6","0.3","0.0","0.0","0.0","0.0","6.5"
"Jake Kumerow","BUF","3.6","44.0","0.3","0.0","0.0","0.0","0.0","6.4"
"Stanley Morgan Jr.","CIN","4.5","50.5","0.2","0.0","0.0","0.0","0.0","6.4"
"Malik Taylor","GB","3.6","43.2","0.3","0.0","0.0","0.0","0.0","6.3"
"Marquez Stevenson","BUF","3.6","40.7","0.3","0.0","0.0","0.0","0.0","6.1"
"Greg Dortch","ARI","3.4","45.7","0.3","0.0","0.0","0.0","0.0","6.1"
"Trenton Irwin","CIN","3.5","39.8","0.3","0.0","0.0","0.0","0.0","5.8"
"Lil'Jordan Humphrey","NE","3.4","42.6","0.3","0.0","0.0","0.0","0.0","5.8"
"Tre Nixon","NE","3.6","41.0","0.3","0.0","0.0","0.0","0.0","5.7"
"Malik Turner","SF","3.2","35.3","0.3","0.0","0.0","0.0","0.0","5.5"
"Tyron Johnson","LV","3.0","38.2","0.3","0.0","0.0","0.0","0.0","5.3"
"Dax Milne","WAS","3.3","38.6","0.2","0.0","0.0","0.0","0.0","5.2"
"Dennis Houston","DAL","5.0","52.0","0.0","0.0","0.0","0.0","0.0","5.2"
"Steven Sims Jr.","PIT","3.7","38.5","0.2","0.0","0.0","0.0","0.0","5.1"
"Andy Isabella","ARI","3.0","36.8","0.2","0.0","0.0","0.0","0.0","5.1"
"Denzel Mims","NYJ","3.0","37.8","0.2","0.0","0.0","0.0","0.0","5.0"
"KeeSean Johnson","ATL","3.0","31.0","0.3","0.0","0.0","0.0","0.0","5.0"
"Scotty Miller","TB","2.8","35.2","0.3","0.0","0.0","0.0","0.0","5.0"
"Collin Johnson","NYG","3.5","39.6","0.2","0.0","0.0","0.0","0.0","5.0"
"Isaiah Coulter","CHI","3.0","38.9","0.2","0.0","0.0","0.0","0.0","4.9"
"Jason Moore Jr.","LAC","2.8","34.2","0.3","0.0","0.0","0.0","0.0","4.9"
"Cody Thompson","SEA","3.2","34.9","0.2","0.0","0.0","0.0","0.0","4.5"
"Gunner Olszewski","PIT","2.4","29.7","0.2","0.0","0.0","0.0","0.0","3.9"
"Bisi Johnson","MIN","4.3","27.2","0.2","0.0","0.0","0.0","0.0","3.7"
"Joe Reed","LAC","1.3","26.3","0.1","0.0","0.0","0.0","0.0","3.2"
"Brandon Powell","LAR","1.8","20.3","0.2","0.0","0.0","0.0","0.0","3.0"
"Dan Chisena","MIN","1.7","19.9","0.2","0.0","0.0","0.0","0.0","2.9"
"Dareke Young","SEA","1.7","18.6","0.1","0.0","0.0","0.0","0.0","2.5"
"J.J. Arcega-Whiteside","SEA","1.5","17.0","0.1","0.0","0.0","0.0","0.0","2.2"
"KaVontae Turpin","DAL","1.2","13.7","0.1","0.0","0.0","0.0","0.0","2.0"
"Daurice Fountain","KC","1.0","10.6","0.1","0.0","0.0","0.0","0.0","1.6"
"Willie Snead IV","SF","0.7","7.3","0.0","0.0","0.0","0.0","0.0","0.9"
"Alex Erickson","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tanner Gentry","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lawrence Cager","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jakeem Grant Sr.","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Slade Bolden","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"River Cracraft","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tom Kennedy","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Hightower","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rico Gafford","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Corey Coleman","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Isaiah Zuber","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lance McCutcheon","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deon Cain","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""